ro,rup
NEPOATA UNUI PAZNIC,NIPOATA AVIGL’ITORULUI
Munții rămăseseră pustii.,Munțîl’i armasiră ca irñii.
"Au coborât turmele de oi la iernat... iată, ciobanii, mâhniți, nu se mai zăresc... familii - în caravane, au plecat și ele... Satul, singur de-acum, își căinează soarta. Pădurile vuiesc, parcă ar sta să-și mărturisească dorul lor pentru prietenii plecați departe, departe, care au adus cu dânșii bucuriile, nădejdile locului.","Fudziră cupiile di oi... s-chirură diparte-n cale picurarl’i învirinaț, s-dipărtară fumeile cu cîrvăñile a lor. Hoara, armasă singură, își plîndze mira-l’i. Pădurile vîzescu, canda vor se-aspună ș-năse jalea ti oaspițl’i a lor duruț, ți fudziră diparte... diparte ș-loară cu năși tută haraua, tută nădia lor."
"Au amuțit dragile cântece din fluier, nu se mai aud mândrele aromânce fredonând. Le-a luat locul vântul tăios, care mătură frunzele veștede și umple satul întreg cu ele... Vântul trezește satul ca dintr-un vis greu, și trece apoi mai departe, șuierând prin văioagele pietroase ale munților.","Se-asteasiră cîntițle dulțe di flueară, nu ma se-avdu boțle a armânelor dail’eane. Tu loclu a lor vimtul arăsună jilos, l’ea cu năs frîndză uscate, umple hoara întreagă... u dișteaptă dit γislu a l’ei greu, și-apoia se-astindze diparte, tu văl’iurle stirnoase a munțîlor."
"Câtă tristețe coboară toamna aici, câți dintre cei ce se-ndrăgesc nu desparte ea... câte iubiri nu face să lâncezească și să se stingă chiar, pentru totdeauna!","Cîtă jale aduțe ș-toamna, cîte iniñi durute nu dispartă... cîte vreri nu arățeaște ș-le-astindze ti totuna."
"Ploaia măruntă și rece, ce părea că nu va conteni vreodată, a stat acum. Sus, printre spărturile norilor zdrențăroși, se strecoară firave raze de soare, pierite aproape, în timp ce turme și oameni și caravane suie trudnic panta muntelui.","Pluina arațe țe avea cădzută ahîtă oară, păpsi. Diparte-n dzare, pi tu cripiturile a niorlor, alunica mundzîle a soarelui, aproapea s-cheară, cîndu fumeile cu cupiile di oi ș-cîrvăñile fugate din hoară alina cu greu giuglu a muntilui."
"Gospodarii își îndemnau caii, știind că dincolo de curmătură se întinde șesul unde vor face popasul odihnitor.","Bărbațl’i anîngîsea cal’i, că după muntile țe-alina, s-tindea cîmpul iu lipsea s-facă cunache."
"Prin văi adânci - soarele nu pătrunde deloc. Umbrele încep a se lungi peste munți și peste prăpăstii, mai întâi ca o lumină cenușie, apoi ca un giulgiu negru... negru, sub care pădurile dispar în tăcere. Câmpia, și ea cufundată în întuneric, visează frumoase zile de primăvară... E o liniște de țintirim. Dar, deodată pădurea răsună de voci omenești, de sunet de talăngi, lătrat de câini: cei plecați la iernat - poposesc undeva.","În cheare, niți ună mundă luñinoasă. Umbrile ahurhiră si s-tindă piste munț și văl’iuri ninte, ca ună luñină puțîn asteasă, apoi ca un zăvon l’ai... lai, sum care s-chirdea pădurile tăcute. Cîmpul, chirdut și-el tu-ntuneric, inγisa dzîlile mușeate di prumuveară... - nă tățeare ca di murmintu. Dinăoară, tut cîmpul s-umplu di boț subțîri di chipuri, di strigări di oamiñi, di alîtrări di cîñi: eara fumeile cu cîrvăñile a lor."
"Focuri luminează acum câmpia. Catârii fură ușurați de poveri, oile se revărsară după iarbă înrourată. Cerul, înorat mai devreme, se însenină pe nebăgate de seamă; și cu el se înseninară și sufletele ciobanilor, mohorâți până aici. Fluierele începură a doini despre dorurile celor tineri; cântecele flăcăilor, făceau să răsune câmpia până departe. Munții și văile se trezeau; ca și pădurile. Totul în jur se înveselea - de voia bună nevinovată a oamenilor. Luna s-a urcat în înaltul cerului, iar focurile piereau rând pe rând. Armânii dormeau acum, somn ușor, sub cerul deschis - ca viața lor.","Focurile aprease luñinară cîmpul. Mulile li discărcară, oile arîiră pi tu cîmpul aruvinat. Țerlu, alăcit cu puțîn ma nîinte, si-nsirina puțîn cîte puțîn; Ș-cu el si-nsirina și suflitile armîñilor țe pînă atumțea eara tăcuț. Fluerle acîțară se-aspună dorlu a tinirilor; cîntițle junești și di vreare fățea ca se-arăsună cîmpul întreg. Munțîl’i și văl’iurile s-diștipta; pădurile s-diștipta și-eale. Tute di-avarliga s-hărisea di bana aestă curată a armânilor. Luna se-avea nălțată-n țer, focurile se-astindzea un după alantu. Armâñil’i durñea somnu lișor, sum țerlu sirin ca bana a lor."
"Numai un suflet pătimea în acest timp, un tânăr mlădiu și plin de vigoare, ca toți oamenii muntelui. Păzea focul arzând... arzând ca inima sa. Nu scotea o vorbă, chinuit de gânduri ce-i veneau amestecate, tulburi, fără nici o rânduială, că nu se-nțelegea nimic din ele; se-nșirau așa, să-i deslușești în ele viața-i chinuită: uite-l mic de tot, orfan, apoi mai mare, singur - neavând pe nimeni să i se destăinuie... Și, într-o zi de Sântă-Măria, îi ieși în cale o inimă dragă, o fată cu suflet de înger, da - așa era - cu care s-a înțeles dintr-o dată: și-au împărtășit unul altuia dorurile, au plâns de bucurie amândoi, și de-atunci... La gândul ăsta, fruntea i se îmbrobonă de sudoare rece, ochii i se umeziră... și, fără să mai stea pe gânduri, se ridică în picioare și se uită, lung, înspre sat.","Mași un suflit căñisit, un tinir analtu și sănătos ca tuț armâñil’i di munte, avigl’ea ningă foclu țe ardea... țe ardea ca inima-l’i tu cheptu. Șidea ași tăcut și minduiri îl’i trițea pit minte, minduiri țe ninte l’i γinea mintite, fără aradhă, di nu putea se-achicăsească țiva; apoia-l’i γinea baire-baire, dit care putea si-și veadă bana-l’i împlină di-arale: s-veade di cu ñic oarfăn, apoia agiumtu mare, singur, fără se-aibă a cui si și-aspună dorlu... Nă dzuă di Stă-Mărie l’i inși în cale ună inimă durută, ună feată cu suflit di anghil, cu care se-achicăsi: Și-aspusiră dol’i dorlu, s-nicară tu lăcriñi di harauă, ș-di-atumțea... La minduirea aestă, frîmtea l’i si acupiri cu sudoare arațe, ocl’il’i l’i si mul’eară... Ș-fără si s-minduiască ma multu, si sculă ș-mutri diparte, cătră hoară."
"În jur, liniște grea: pe boltă, stelele licăreau ușor, luna strălucind își vedea de drumul ei, umplând pădurile cu lumină. Iar aromânii dormeau somn dulce... Liniște adâncă și-n cer, și pe pământ; dar în pieptul lui Dinu mocnea furtuna. Liniștea locului însă, parcă-i mai alina uraganul din suflet, și așa - se așeză din nou lângă foc, să macine mai departe gânduri. Dar și acum, tot gânduri negre, ba mai negre chiar, îl copleșeau... îi răsunau în urechi plânsete... și umbre lungi, spăimoase îi jucau pe dinainte... Închise o clipă ochii, să nu mai vadă... și-atunci i se-nchegă în minte icoana curată a celei care-i frământa atâta sufletul: departe, în sat, draga lui, Vira, rămăsese singură, cu tatăl ei - paznicul satului, să-și plângă zilele, și viața ei, numai necazuri, și ce-o să-i mai aducă iarna...","Di-avarliga tute tățea: analtu-n țer stealile trimbura lișor, luna înγilicioasă își trițea lunga-l’i cale și umplea pădurile de luñină. Armâñil’i durnea somnu lișor... Tățeare mare eara-n țer ș-pri loc; ma furtună eara tu cheptul al Dina. Tățearea aestă canda-l’i ñicura ș-furtuna dit cheptu, și ași, ma lișurat, șidzu ningă foc ca si s-minduiască iară. Ma tora, minduiri ma lăi îl’i γinea tu minte... boț plănguroase l’i-arăsuna la urecl’i... umbre lundzi, aspăroase l’i trițea dininte. Încl’ise nă minută ocl’il’i ca se-ascapă di tute aiste... Și-atumțea l’i-inși dininte limpide icoana ți-l’i friminta mintea ahîntă oară: diparte, în hoară, vruta-l’i Viră armase singură cu tată-su, avigl’itorlu a hoarîl’ei; s-neacă tu lăcriñi și-și plîndze ñira-l’i niñiloasă... Ș-plîndze bana împlină di fărmațe ți u-așteaptă iarna aistă."
"Imaginea iubitei îl dădu gata... și n-a mai stat pe gânduri. Se ridică, parcă mușcat de vreun vis rău, puse mâna pe-o bâtă, își chemă câinele ciobănesc de lângă oi, și porni spre sat, să-și bucure fata care-i înțelese dorul și lacrimile, s-o scape de trai greu... Se grăbea, ca un străin ajuns aproape de locurile lui, care e nerăbdător să și-i îmbrățișeze cât mai repede pe ai săi.","Aistă lu-azvimse dicutot... nu vru si s-minduiască ma multu, să sculă șirpitat ca di vîrnu γis arău, arăchi tuiaga, angînă cînile coluv di ningă oi și-nchisi năpoi în hoară, ca s-da părigorie ațil’ei ți l’i-achicăsi dorlu ș-lăcriñile, si-u-ascapă di bana greauă... Ș-imna cu alăgare, ca axenlu ți si veade aproape di hoară-l’i, și-alagă ca si s-arucă cît cama-n γie tu brațăle durute a aților ți-l așteaptă cu nearăvdare..."
"Satul, pierdut în întuneric, visa un vis cenușiu, de toamnă. Dinspre pădure sufla tăios un crivăț turbat, care sta să smulgă copacii din rădăcină, zguduind totul în calea lui; parcă niște iele, scăpate din lanțuri grele - se năpustesc peste așezările oamenilor. Începe să fulguie, și neaua se așternu în straturi peste satul tot. Gospodăriile erau goale, întunecate, doar o căsuță, cu o curte mare și pustie, era luminată de-o candelă... Înăuntru, lângă vatră, lucra o fată cu obrajii aprinși ca jarul, cu ochii mari și îndurerați, cu părul revărsat, de mătase; era ca un măr de aur aruncat aici, în sărăcia casei. Fata lucra, draga de ea, iar lacrimile ce-i șiroiau pe față ar fi putut stinge jarul din focul de alături. De-afară, bufnituri de zăpadă izbeau cu putere ferestrele cârpite cu hârtii... Fata, apăsată de gânduri, își simțea pe obraji lacrimile calde.","Hoara, chirdută tu întuneric, înγisa jiloslu γis di toamnă. Un vimtu arațe sufla di cătră tu pădure ahît turbat, di scutea arburl’i dit rădățină și trunduia hoara-ntreagă; canda arghiandele scăpate dit brăndzi greale trec tu turbare pisti hoară. După puțîn, neaua loa s-cadă pale-pale și anvălea hoara întreagă. Casile tute eara goale și-ntunicoase, mași nă casă ñică, cu uborlu mare ș-irñiu, eara luñinată di cîndila ți ardea slabă... slabă. Ș-nuntru, ningă vatră, lucra nă feată, nă feată cu fațăle ca jar, cu ocl’il’i mări și jiloși, cu perlu fundutos și ca hrisafe; eara ca un mer di amalamă arucat anamisa di urfañea a casîl’ei. Lucra mărata feată și lăcriñile ți-l’i cura di oară-oară pi față... astindzea jarlu ți ardea aproape di năsă. Di nafoară, zvinturări di neauă agudea cu vîrtute pi firidzle alichite cu cărță... feata tăcută cădea pi minduiri ș-lăcriñile calde l’i-alunica pi față."
"Lungă și tristă e povestea acestui suflet curat, copleșit de necazuri: rămasă încă de mică fără părinți, a fost luată de suflet, de către paznicul satului, un bețivan care o lăsa zile în șir singură, singură în casă, doar cu un codru de pâine uscată; iar când bețivul ăsta se întorcea de pe unde umbla, trebuia să-i îndure brațul lui greu, fiindcă o bătea... O bătea, până o lăsa lată, pe jos. Și fata i le răbda toate astea... I le răbda, nădăjduind că într-o bună zi avea să se mântuie ea de traiul ăsta câinesc; pentru că se mai afla undeva o ființă care se gândea la dânsa... Era dragul ei, Dinu, care de-atâtea ori i-a vorbit de-o altfel de viață, mai fericită...","Lungă și jiloasă easte isturia aiștui suflit curat, împlin de fărmațe: armasă di cu nică fără părinț, fu luată di tată-su, avigl’itorlu-a hoarăl’ei, un îmbitător, care u alasă dzăle întredz singură cob acasă, cu un codru uscat di pîne, ș-cîndu γine, apoi, lipseaște s-aravdă brațlu a lui greu, că u bătea... u bătea pînă cădea lișinată-mpade. Ș-l’i arăvda tute aiste mărata feată... li arăvda, că avea nădia că tu ună dzuă lipsea s-ascapă di bana aistă greauă; eara un altu suflit care u părigurisea... eara vrutlu a l’ei Dina, care-l’i zbura di ahăte ori di ună bană ma bună... ma hărioasă."
"Iată la ce se gândea biata fată, în noaptea aceea neagră, și-i curgeau lacrimile, fără contenire...","La aiste s-minduia mărata feată tu aistă noapte furtunoasă, ti ațea lăcriñile-l’i cura vale pri față."
"Trecuse de miezul-nopții, iar afară ninsoarea se oprise de tot; vântul murise și el, iar satul zăcea sub giulgiul alb de zăpadă.","Neadză-noapte eara tricută, nafoară nu s-videa s-cadă niți un fulgu di neauă, vimtul eara sclăvuit și hoara durñea sum zăvonlu albu di neauă."
"Fata lucra încă, lângă focul mocnit... și de nedormită ce era - nu mai putea închide ochii, mai ales - cutreierată de gânduri: uneori parcă-l vedea pe iubitul ei Dinu departe, pe câmp, și-i simțea cumva privirile îndreptate către dânsa... în alte dăți părea că aude glasul lui dulce, chemând-o să fugă cu el... să fugă - cine știe unde și să scape de viața asta grea... Dar, n-a auzit acum, aievea, fluierul lui Dinu? Doinea de jale, și cântecul cobora dinspre dealuri, răsunând frumos, până aici, în odaia ei. O cuprinse deodată un tremur, și un râs ciudat îi înflori buzele, apoi se prăbuși sfârșită pe vatra rece.","Feata lucra nica, ningă foclu astes... Ș-di nisumnată ți eara, ocl’il’i si-ncl’idea greu, ma minduirile u turbura dipriună; cîte nă oară-l videa pi vrutlu-l’i Dina diparte, tu cămpu, tut cu mintea la năsă... altă-oară l’i-avdza canda boațea-l’i dulțe, cum u acl’ima s-fugă... s-fugă diparte și s-ascapă di bana greauă... Ș-cum s-minduia ași, îl’i păru că avdzî n-aevea flueara al Dina; boațea γinea jiloasă, din sus di cătră tu dzeană și arăsuna mușeat pîn’ tu odă la năsă. S-cutrimură, ca aspăreată, un arîs lișor l’i hărisi budzăle, și cădzu curmată ningă vatra arațe..."
"Afară, satul încă se mai înfiora de cântecul doinit din fluier, de Dinu, fiindcă el era cântărețul... Plecat din câmp, merse ceasuri întregi, și - către zori, intră pe uliți. A vrut să se ducă de-a dreptul la casa Virei, s-o bucure - că o știa necăjită, dar tatăl ei... sufletul ăla hain l-ar fi simțit, și-atunci era și mai rău de dânsa.","Nafoară, hoara arăsuna nica di cînticlu jilos di flueara al Dina, că eara năs ți cînta... Fugat dit cîmpu, imnă oare întredz, și - ninte di apirită, agiumse stră hoară. Vru si s-ducă îndreptu ningă casa ali Vire, si-u părigurisească, că u știa că-i jilită, ma tată-su... ațel suflit arău, vrea-l duchea poate, și-atumțea eara ma arău ti Vira."
"De aceea, când fu pe muchia dealului, flăcăul mai slobozi o dată cântecul lor drag, prin care îi dădea de veste și vara, de la târlă.","Ti ațea, cît agiumse pi dzeană, cîntă dit flueară, ninte, cînticlu a lor vrut, cînticlu cu care u-acl’ima ș-veara, la tăruște."
"Așteptă o clipă... Dar, dinspre casa Virei - nici un semn, nici un glas, doar o luminiță pâlpâind înăuntru. A vrut să mai zică din fluier o dată, dar fluierul parcă murise, n-a mai scos un sunet... Îl azvârli pe zăpadă, și începu din gură, chiar cântecul Virei, pe care îl zicea ea când se ducea la târlă ori la fântână:","Aștiptă puțîn... Di cătră casa ali Vire - niți un semnu, niți nă boațe, mași nă luñină slabă s-videa năuntru. Vru s-cîntă iara... flueara l’i păru aspartă, că nu scutea niți ună boațe. U arucă tu neauă, și-apoia lo s-cîntă cu gura cînticlu ți-l cînta totîna Vira cîndu nirdzea la tăruște, ică la fîntînă:"
"Fată - ochi de peruzea,","Feată, ocl’iu mărdzelat,"
"Draga mea armână,","Vruta mea armână,"
Ia nu mai întârzia,"S-nu di tuț, lea, amînat"
"Seara, la fântână.","Seara, la fîntînă."
"Și, ia nu te mai găti","Că te-așteaptă mulț junari,"
"Toată, în mătasă,","Vrută, si-ñi ti-arapă,"
"Că feciorii te-or răpi,","Că tu sirmi îñi ti-adari,"
La-nturnat acasă.,Cîndu ñerdz într-apă.
"Și să nu mai porți, la hori,","S-nu ma porțî, feată, n-cor -"
"Gălbenei anume,","Minduhii, dubloane,"
Că-i smintești pe cei feciori -,"Că junaril’i, de-a tău dor"
Și-or roi în lume...,Fug jiliț tu-axeane...
"Și cânta Dinu cu atâta foc, cu atâta dor, că până și satul pustiu se îndurera. Casele goale și tăcute se treziră, la vocea lui, cunoscută lor, și-l îngânară... parcă și ele sufereau cu dânsul. Se opri puțin, așteptând. Simțea o bucurie de copil mare, când se gândea că peste puțin are să fie lângă draga lui și o să-i șteargă lacrimile de pe obraji... Dar vremea parcă zbura... iată, dinspre răsărit, zorile stau să se reverse. Simțind asta, Dinu se grăbi să coboare.","Și cîntă ahîntu jilos, ahîntu plînguros, că hoara întreagă s-cutrimură di ñilă. Casile goale ș-tăcute s-diștiptară, la aistă boațe cunuscută, arăsunară plînguros... canda plîndzea și-eale deadun cu năs. Șidzu puțîn, aștiptîndalui. Duchea nă harauă ficiurească anda s-minduia că după puțîn va s-hibă aproape di vruta-l’i, că va s-poată s-l’i-așteargă lăcriñile... Ma chirolu canda azbura... după puțîn, di cătră tu apreasă, hărγia lipsea si-și aspună frămtea-l’i luñinoasă. Dina li videa tute aiste, ti ațea nu aștiptă ma multu, și închisi."
"Era cam frig, și din când în când vântul sufla cu putere izbindu-l pe băiat în față; Dinu însă pășea mai departe prin satul cufundat încă în întunericul dinaintea zorilor. Ajuns lângă casa celuilalt paznic, se uită pe fereastră: în vatră ardea un foc zdravăn, iar paznicii se tolăniseră alături.","Chirolu eara arucuros, ș-di oară-oară vimtul sufla cu vîrtute, și lu agudea pi față; ma Dina trițea tăcut pit hoara chirdută tu întunericlu ți s-tinde ninte di hărγie. Agiumtu ningă casa alăntui avigl’itor, mutri pit firidă: un foc mare ardea tu vatră, și avigl’itoril’i eara teși ningă năs."
"Un câine l-a simțit, a lătrat, s-a ținut după el și s-a întors repede. Dinu a mers mai departe, fără să se uite în urmă-i... dorea să fie cât mai degrabă acolo unde-și pusese în gând sa ajungă.","Un cîne tu alatră, alîgă după năs și apoi s-turnă iara ningă poartă. Dina trițea ninte... fără si-s toarnă s-mutrească năpoi... că vrea s-agiungă cît cama aγoñea aclo, ti iu avea-nchisită."
"Lătratul câinelui îi trezi pe paznicii amețiți de vinul băut o noapte întreagă. Și-au dat seama că a intrat cineva în sat, vreun străin. Unchiul Virei puse mâna pe-o secure cât toate zilele, luă și o bucată de zadă - s-o aprindă la nevoie - și țâșni afară. Aci, observând zăpada călcată în picioare - nu-i mai chemă pe ceilalți și alergă spre gospodăria sa. Frigul de dimineață îl trezi și mai mult, ba chiar îl și învigoră.","Alătrarea a cînilui diștiptă pi avigl’itorl’i chirduț di γinlu ți avea biută noaptea întreagă. Duchiră că easte om xen în hoară. Lală-su ali Viri arăchi țupata ș-nă bucată di zadă, și s-astrapse nafoară. Aclo, vidzîndalui neaua călcată - fără s-cl’eamă și pri alanță - alîgă cătră casă-l’i. Arcoarea di dimneață-l diștiptă ma multu, și-l’i deade puteare."
"Aproape de casă, bagă de seamă că o umbră se tot mișca... Se apropiè de dânsa... Capul îi era greu ca de plumb, picioarele nu prea îl țineau, dar își simți brațele încordate cum se ridică și lovesc cu putere, fără vrerea lui... Securea trăsni și, pe loc - un trup înalt se rostogoli greoi în zăpadă, în timp ce un glas stins a murmurat abia auzit: „Ah, Doamne - s-a zis cu mine!“","Aproape di casa a lui veade că s-mină nă umbră; s-apruche di nîsă... Caplu-l’i îngrica greu ca pliumbul, cicioarle îl’i trimbura, mîñile să sculară cu puteare, ca fără vrearea a lui... tupoara cădzu-nghios, ș-după puțîn - un trup lungu s-arucuti tu neauă, iar nă boațe asteasă murmură: „Ah, mi duș!“"
"Paznicul se înfioră de groază... Vocea îi era cunoscută; și, și-a înțeles, tocmai de aceea, fapta nesăbuită... Era pierit, nu mai știa ce să facă, și - deodată, cu securea în mână, cu sarica și cămașa stropite de sânge - alergă în casă!","Avigl’itorlu s-cutrimbură di frică... boațea l’i-eara cunuscută; aistă lu feațe s-duchească ma ghine fapta arauă... Eara ca chirdut, nu știa ți s-facă, și - dinăoară, cu țupata tu mînă, cu mal’iotlu ș-cămeașa di sîndze, alagă acasă la năs!"
"Vira se trezi, înspăimântată. Văzându-l pe unchi-său plin de sânge, a țipat... El a înălțat securea și-a zis încet, amenințător:","Vira s-diștiptă ca aspăreată. Vidzîndalui pi lală-su încărcat di sîndze, scoase un zghic... Năs sculă țupata ș-gri agale:"
- Taci... taci - că l-am mâncat fript...,- Taț... taț - că-l măcai pi năs...
"Vira a tăcut... Și, deși nu înțelegea nimic din ce se petrecea, nici nu îndrăzni să întrebe ceva.","Vira tăcu... Ș-cu tute că nu putea s-acăchisească țiva di tute aiste, nu cutidză s-întreabă un zbor."
"Paznicul, amețit încă de vin, și - poate în mai mare măsură - de sângele de pe cămașă și de pe sarică... nu mai rezistă, căzu într-un colț și numaidecât, ca trăsnit, adormi... după nopți de nesomn și de beție.","Avigl’itorlu, chirdut nica di γinlu ți avea biută, și - ma multu di videarea a sîndzilui pi cămeașe și mal’iot... nu putu s-șeadă ma multu, cădzu tu ună cohe, și dinăoară lu acăță un somnu greu... greu, după ahîte nopțî tricute cu beare ș-fără somnu."
"Spre răsărit, se lumina de ziuă. Casa era la loc deschis și nu se aflase nici până atunci chiar în beznă. Vira, parcă era de pe altă lume; nu-și amintea nimic, nu înțelegea nimic din ce vedea în jur.","Tu apreasă cripa hărγia. Casa eara cătră tu surin și eara puțîn luñinată. Mărata Vira eara ca tu altă lume; țiva nu putea si-și aducă aminte, țiva nu putea s-achicăsească di ațeale ți s-fățea dinvărliga-l’i."
"Afară vântul șuiera prelung, parcă-ar fi cobit... Vira dădu să iasă în curte, dar se întoarse numaidecât ca mușcată de șarpe, când zări zăpada înroșită, ba mai auzi și-o voce îngrozitoare, care ajungea la ea... Rămăsese înmărmurită, în casă... Îi venea a plânge și nu știa de ce; s-ar fi gândit la ceva, dar la fel - nu știa la ce, pentru că totul era fără noimă, încurcat, pentru dânsa.","Nafoară vimtul arăsuna lungu... lungu ca ti cubil’e; Vira vru s-iasă tu ubor, ma - dinăcale, ca șirpitată, s-turnă năuntru, că aclo neaua eara aroșe, și-ună boațe aspăroasă agiundzea pîn’ la năsă. Șidzu ași năuntru, că mărmuripsită; vrea s-plîngă - și nu știa trî țe; vrea si s-minduiască și nu știa la ți, că tute-l’i părea mintite."
"Alături, unchiu-său sforăia în somn monstruos, ceea ce o sperie și mai rău. A ieșit iar afară și a pornit pe urmele sângelui. Abia așa înțelesese... Un lac de sânge și - în mijlocul lui - dragul ei Dinu, cu fața în sus, întins pe jos; Vira țipă scurt... și alunecă lângă băiat.","La nă parte - hărhea lală-su tu somnu, și aistă u aspărea ma multu. Inși nafoară, și s-lo după urma sîndzilui. Aclo putu s-achicăsească tute cîte s-avea faptă: nă bară mare di sîndze, și - tu năsă vrutlu-l’i Dina, cu fața-n sus, șidea tes; scoase un zghic subțîre... Ș-cădzu lișinată ningă năs."
"Vântul le mângâia lin obrajii... Parcă-i căinà... Îi căinà pe acești doi tineri chinuiți, cu sufletele lor curate, de îngeri adevărați.","Vimtul lișor lă hărisi fața... Și-l’i plîmse... îl’i plîmse pi aiști doi tiniri, pi aiste doauă suflite căñiniste, curate, ca di anghil’i."
"Lumina se revarsă peste sat. Dinu și Vira stau tot în zăpadă, iar paznicii dorm duși, somn greu; pe ulițe, nici țipenie. Dar vântul se înteți suflând și mai rece; fulgi de nea cădeau rar peste cei doi. Fulgii de nea o mai treziră pe fată, care începu să dea semne de viață... Își revenea din leșin. Câteva clipe mai târziu se mișcă neliniștită, deschise ochii mari și țâșni ca arsă! Se simțea ușoară și în putere iar... cânta, țipa... râdea în hohote, ca niciodată în viața ei. Apoi, înșfăcându-l pe Dinu, îl trase în casă. Îl lăsă acolo, și iar hohoti în râs..., iar țipete, cântec, după care ieși din nou din casă. A început să alerge, desculță, prin sat... Alerga spre biserică. Aci trase cu putere clopotul cel mare, ca și când își pusese în gând să adune tot satul - să-l plângă pe dragul ei Dinu...","Hoara s-avea umplută di luñină. Dina cu Vira șidea teși tu neauă, iar avigl’itorl’i durñea chirduț tu somnu greu: suflit γiu nu s-videa pi tu hoară. Vimtul ahurhi s-bată cama arațe, fulguri di neauă cădea di oară-oară pi fața al Dina și-ali Vire. Aistă u diștiptă puțîn, lo s-bată... Și-u diștiptă puțîn cîte puțîn pri Vira dit lișinlu greu. După puțîn lo s-bată... Ș-dișcl’ise ocl’il’i și arsări ca șirpitată! S-duchea lișoară, cu puteare... cînta, striga... arădea cu lacriñi, cum nu avea faptă vîrnăoară tu bană-l’i. Apoi, trăgîndalui cu puteare pi Dina mortu, lu duse-n casă... lu alăsă aclo, arăse... strigă, cîntă și inși nafoară. Și alăgă disculță pit hoară... alăgă îndreptu la bisearică, trapse cu puteare clopotlu mare, canda vrea s-adună hoara întreagă ca s-plîngă pi vrutlu-l’i Dina..."
"La dangătul clopotului, satul răsuna - pustiu... Apoi tăcerea se înstăpâni din nou...","La boațea aistă, hoara arăsuna jilos... Și-apoi tățearea s-timse iară..."
"Vira se întoarse acasă... Cânta, râdea... Își îmbrăcă straiele de sărbătoare și ieși din nou pe uliță...","Vira s-turnă acasă... cîntă, arăse... s-alăxi tu strañile nale și inși iară pit hoară..."
"Fata, biata de ea, înnebunise.","Mărata feată, eara zurlă."
"Iepurele sare de unde nu te aştepţi.","Ĺepurle ansare d-iu nu te-aştepţ" 
"Se îmbracă în straiele cafegiului şi începe să miaune ca o pisică pe lângă uşa unde dormea împăratul.","Si mveaşte tu strańile a cafiĝiluiş-acaţă s-ńaură ca nă cătuşe pi ninga uşa iu durńa amirălu."
"De ce îl lovişi pe băiat, masă, întrebă arapul.","Că-ţelo-agudi şi fiĉorlu, measă, ntribă Araplu"
"Nu se va lega nimeni de tine, căci o să li se pară că sunt eu.","Nu ti cârteaşĉe vârnu, că va lă si pară că escu mine."
"Și dacă nu crezi, măsoară tu din nou!","Și s-nu pistipsiri, misură tine diznou!"
"Nu mă bate, că ţi-aduc şi-alte potcoave eu!","Nu mi bati, că ț-aduc ș-alti petali io!"
"Cand iti faci prieteni noi sa nu-i uiti pe cei vechi.","Acats un oaspi nău, vecljilu s-nu lu agărshestsă."
"Gustarea de dimineata si insuratoarea in tinerete, sunt de bun augur.","Gustarea di tahina shi nsurarea di cu tiniru, acatsă locu."
"Viata-i de trait si datoria de platit.", "Calea va imnari shi borgea va pălteari."
"Christopher Columbus a fost un expolrator. El spunea ca pamantul este rotund. Oamenii la acel timp nu-l credeau. Radeau de el.","Christopher Columbus eara un om ti alaga s-afla locuri nali. Elu dzasi ca locu eati arucu-tosu. Lumea tu atelu kiro nu-l pistupsea. Sa aradea di elu."
"Dar in cele din urma a adunat cat ii mai lipsea pentru 3 vapoare. In anul 1492 a inceput calatoria lui.","Pana tu ma napoi elu aduna pradza catu ili lipsea di 3 vapoari. La anu 1492 inkisi calea lui."
"A fost pe mare pentru multe multe saptamani. Oamenilor lui incepuse sa le fie frica. Dar in final au vazut pamant. Acel loc a fost America.","Elu fu tu amari multi multi stamani. Oaminli a lui ti li-avea tu vapori s-asparari multu. Ma tusorni vidzura locu. Aistu locu fu America."
"Era o fata si o mama si mama nu o voia pe fata. O batea mult de o facea lemne.","Era uni feata si uni mumi si muma nu vrea pi feati. Uagudea multu si u feati lemnu."
"Mama punea lemnele in foc si se facea cenuse si cenusa o arunca in gradina care se transforma in cuie.","Muna, lemnu u biga tu focu si s-feati cinusi si cinusea u-aruca tu gradini si s-adira sacurafi."
"Si cuiele le batu in tava. Intr-o zi mama nu avea apa.","Ulo sacurafa s-u hipsi tu davani. Uni dzui masa nu avea apa"